dataset,filename,ssim,orb_matches,histogram_corr,passed
train,3FO4ILYJH1P1_675056_empty_1.jpg,0.8961122133085117,21,0.6888485278594306,False
train,3FO4IN1V85BF_525_empty_1.jpg,0.843605329188581,24,0.9961871480623244,False
test,3FO4IO3CEX71_382_empty_1.jpg,0.8416803109823446,17,0.9825495176556314,False
train,3FO4IJJ9M4BY_280_empty_1.jpg,0.8216835644265613,19,0.9911909451174497,False
train,3FO4IPCF3R93_735_empty_1.jpg,0.8196117707009047,23,0.9805203846075792,False
validation,3FO4IINSI5ME_2489_empty_1.jpg,0.8112591866196209,17,0.9831398763464633,False
train,3FO4IQ4XSOOR_5368_empty_1.jpg,0.8107012584401491,17,0.9475724767094228,False
train,3FO4ILCYDMV1_857_empty_1.jpg,0.8100041319137303,39,0.5459022480356059,False
train,3FO4INQ6YBHN_805693_empty_1.jpg,0.8074325492683627,12,0.35969422074855556,False
train,3FO4IIO7DQIM_655642_empty_1.jpg,0.8044558873032182,22,0.9651258151012546,False
train,3FO4IEKSCX7U_704_empty_1.jpg,0.8033908888196767,21,0.9363201749230812,False
train,3FO4IOW6MLD2_170_empty_1.jpg,0.8008094709346487,18,0.8747124398781086,False
train,3FO4IJ3PWHYQ_353_empty_1.jpg,0.7989375466912474,21,0.9785414310465721,False
train,3FO4IDRJYUO1_266_empty_1.jpg,0.7936530754895248,22,0.9739123685613669,False
test,3FO4ILMVEUUM_28150_empty_1.jpg,0.7934527479773781,15,0.9934994254266636,False
train,3FO4IOH0V0PB_735_empty_1.jpg,0.7809888524494341,15,0.9948481947121096,False
train,3FO4IIY1OWJS_302081_empty_1.jpg,0.7720360453618481,19,0.9390146671935408,False
train,3FO4INA4HPOX_1056_empty_1.jpg,0.769671327196155,17,0.5123730674487655,False
train,3FO4IJWD3B3X_835207_empty_1.jpg,0.7688917533724438,23,0.9204189637384259,False
validation,3FO4IQA9F9IP_186_empty_1.jpg,0.7681332447542099,20,0.8879911861302393,False
test,3FO4IMIKN207_289186_empty_1.jpg,0.7647763336935817,14,0.9029768316621655,False
train,3FO4IMQ587LN_22739_empty_1.jpg,0.7622446586985783,24,0.9166363024482074,False
train,3FO4IOESR6X6_818_empty_1.jpg,0.7621676924821363,5,0.8710860000849973,False
train,3FO4ILU6FUB5_4549_empty_1.jpg,0.7614707737442175,22,0.8285252184860689,False
validation,3FO4IL6W0U23_4877_empty_1.jpg,0.7564072993851473,20,0.8491821641895567,False
train,3FO4IDWJ6M8E_843662_empty_1.jpg,0.7550967794801601,11,0.9460691803175426,False
train,3FO4IOW3CR9P_13476_empty_1.jpg,0.7525324822658995,23,0.9408822026888173,False
train,3FO4IIR68SAR_16364_empty_1.jpg,0.7477760012954848,21,0.8435147239182098,False
train,3FO4II3SE02V_37847_empty_1.jpg,0.7448479515507942,24,0.9337462120464174,False
train,3FO4IGI45WK9_1545_empty_1.jpg,0.7395526474717169,19,0.7190560305629974,False
validation,3FO4INFX1K3H_224654_empty_1.jpg,0.7366607712044182,17,0.9794501670190597,False
train,3FO4IQEX0ATW_559318_empty_1.jpg,0.7286172259484855,16,0.6390020459542615,False
train,3FO4IIVXG020_145464_empty_1.jpg,0.7280072629786697,18,0.9773856709769898,False
train,3FO4IPNNNX7U_647_empty_1.jpg,0.7271149936259711,15,0.9223988949543058,False
train,3FO4IQA9F9IP_3027877_empty_1.jpg,0.7234306091122126,14,0.9560829125098184,False
train,3FO4IOO1MK1S_35234_empty_1.jpg,0.716507484279105,10,0.7474914875994667,False
train,3FO4IOF7C3C7_120100_empty_1.jpg,0.711561828843337,14,0.8514431890021726,False
train,3FO4INLADYTM_11165_empty_1.jpg,0.7105857732070482,19,0.8742437269161483,False
test,3FO4IIOCR1VX_247_empty_1.jpg,0.7097219089123109,24,0.8166722063992305,False
train,3FO4IOF7UM0Q_182_empty_1.jpg,0.7079089368102236,18,0.7180922268370638,False
train,3FO4IO3BPR8S_507_empty_1.jpg,0.7078635729722412,24,0.9644156298059895,False
train,3FO4IQDJNEDW_967_empty_1.jpg,0.7061383454658199,12,0.5682643576813446,False
validation,3FO4IH0VMMC2_831427_empty_1.jpg,0.705903094294804,10,0.9069875654928367,False
train,3FO4IH0VMMC2_831744_empty_1.jpg,0.7037233964726065,26,0.5507909313466002,False
train,3FO4ILQKSCNY_534_empty_1.jpg,0.701694908077686,18,0.8788810237877441,False
test,3FO4IJ61TRUS_836869_empty_1.jpg,0.7012600522570296,14,0.8725118878667533,False
validation,3FO4IN3QBIKT_2828_empty_1.jpg,0.700460830202486,21,0.9458426965234201,False
train,3FO4IO1CF31C_251316_empty_1.jpg,0.6974747141900813,27,0.9952586417887055,False
validation,3FO4IMFRHA4N_4955_empty_1.jpg,0.6972308696996188,38,0.8455099243252417,False
test,3FO4IDSR3DHP_926475_empty_1.jpg,0.6966508849017634,68,0.6617828899768284,False
test,3FO4IOC5FID7_970941_empty_1.jpg,0.6961364344340132,16,0.7650546922734419,False
test,3FO4IOC5FID7_16627_empty_1.jpg,0.6956773333943709,45,0.9447245012782399,False
train,3FO4IM6HOD1T_197_empty_1.jpg,0.6949393291050177,41,0.9774004243270108,False
train,3FO4II469FHL_80284_empty_1.jpg,0.6933599036121715,28,0.35740255229132245,False
train,3FO4IJGPOJ43_494202_empty_1.jpg,0.6924581965522536,22,0.8165438008597977,False
train,3FO4IOC0ITRU_436_empty_1.jpg,0.690923768294617,25,0.880113919545912,False
test,3FO4IEV5U338_655332_empty_1.jpg,0.6905924476125593,16,0.6910277700312273,False
train,3FO4INRT9NJE_654_empty_1.jpg,0.6887306957623176,41,0.7932166571031983,False
train,3FO4II2MRWWV_857_empty_1.jpg,0.6878718643160213,19,0.9531099721205549,False
train,3FO4IQEX0ATW_559320_empty_1.jpg,0.6877375418340955,29,0.7544000328246415,False
train,3FO4IMYR4B8O_3650_empty_1.jpg,0.6853818760326142,47,0.9324811499466974,False
validation,3FO4II2X5NUD_2621_empty_1.jpg,0.6810146741185128,16,0.8548660866917309,False
train,3FO4ILCH5FWM_745625_empty_1.jpg,0.680539693262254,26,0.9251578185613176,False
train,3FO4ILCYDMV1_735_empty_1.jpg,0.6787413400049025,16,0.8808392699009032,False
validation,3FO4INWDMH9K_128378_empty_1.jpg,0.6785903471747528,49,0.9648597595636318,False
validation,3FO4IOKYXCJ0_521_empty_1.jpg,0.6783892774744803,23,0.9742428345178215,False
train,3FO4IQERI6PG_733792_empty_1.jpg,0.6779964139417494,12,0.9664684282523887,False
