rank,filename,dataset,ssim,hist_corr,edge_density,line_density,combined_score,z_score,after_path,before_path
1,"3FO4IMQ587LN_22734_empty_1.jpg",train,0.239112,-0.288027,8.042679,8.20,-0.024457,-2.33,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IMQ587LN_22734_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IMQ587LN_22734_empty_1.jpg"
2,"3FO4IOF7021L_587226_empty_1.jpg",train,0.002721,-0.033194,9.034882,8.98,-0.015236,-2.29,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IOF7021L_587226_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IOF7021L_587226_empty_1.jpg"
3,"3FO4IO9QOJGM_1004279_empty_1.jpg",train,0.065385,-0.083241,14.910278,12.89,-0.008928,-2.27,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IO9QOJGM_1004279_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IO9QOJGM_1004279_empty_1.jpg"
4,"3FO4IL73T46C_159_empty_1.jpg",train,0.071346,-0.079394,36.244583,46.88,-0.004024,-2.25,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IL73T46C_159_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IL73T46C_159_empty_1.jpg"
5,"3FO4IQH8UNUE_179708_empty_1.jpg",test,0.054254,-0.049794,11.964798,8.20,0.002230,-2.22,"/Users/admin/Documents/Facultatea/Proiect_RN/data/test/after/3FO4IQH8UNUE_179708_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/test/before/3FO4IQH8UNUE_179708_empty_1.jpg"
6,"3FO4IJN7DYK2_9954_empty_1.jpg",train,0.238533,-0.232955,8.171082,5.86,0.002789,-2.22,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IJN7DYK2_9954_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IJN7DYK2_9954_empty_1.jpg"
7,"3FO4IIXI4ITA_990133_empty_1.jpg",validation,0.515258,-0.506937,2.046661,1.17,0.004160,-2.21,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IIXI4ITA_990133_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IIXI4ITA_990133_empty_1.jpg"
8,"3FO4IP5GCC6K_161_empty_1.jpg",validation,0.055822,-0.046320,14.412231,16.02,0.004751,-2.21,"/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/after/3FO4IP5GCC6K_161_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/validation/before/3FO4IP5GCC6K_161_empty_1.jpg"
9,"3FO4IJ3PWHYQ_444_empty_1.jpg",train,0.050073,-0.019174,14.229355,15.62,0.015450,-2.17,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IJ3PWHYQ_444_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IJ3PWHYQ_444_empty_1.jpg"
10,"3FO4IMNM155E_363_empty_1.jpg",train,0.150512,-0.116550,5.354004,3.52,0.016981,-2.16,"/Users/admin/Documents/Facultatea/Proiect_RN/data/train/after/3FO4IMNM155E_363_empty_1.jpg","/Users/admin/Documents/Facultatea/Proiect_RN/data/train/before/3FO4IMNM155E_363_empty_1.jpg"
